impression_id,clicked,lead,converted,stage
1,0,0,0,Impression
2,0,0,0,Impression
3,0,0,0,Impression
4,0,0,0,Impression
5,0,0,0,Impression
6,0,0,0,Impression
7,0,0,0,Impression
8,0,0,0,Impression
9,0,0,0,Impression
10,0,0,0,Impression
11,0,0,0,Impression
12,0,0,0,Impression
13,0,0,0,Impression
14,0,0,0,Impression
15,0,0,0,Impression
16,0,0,0,Impression
17,0,0,0,Impression
18,0,0,0,Impression
19,0,0,0,Impression
20,0,0,0,Impression
21,0,0,0,Impression
22,0,0,0,Impression
23,0,0,0,Impression
24,0,0,0,Impression
25,0,0,0,Impression
26,0,0,0,Impression
27,0,0,0,Impression
28,0,0,0,Impression
29,0,0,0,Impression
30,0,0,0,Impression
31,0,0,0,Impression
32,0,0,0,Impression
33,0,0,0,Impression
34,0,0,0,Impression
35,0,0,0,Impression
36,0,0,0,Impression
37,0,0,0,Impression
38,0,0,0,Impression
39,0,0,0,Impression
40,0,0,0,Impression
41,0,0,0,Impression
42,0,0,0,Impression
43,0,0,0,Impression
44,0,0,0,Impression
45,0,0,0,Impression
46,0,0,0,Impression
47,0,0,0,Impression
48,0,0,0,Impression
49,0,0,0,Impression
50,0,0,0,Impression
51,0,0,0,Impression
52,0,0,0,Impression
53,0,0,0,Impression
54,0,0,0,Impression
55,0,0,0,Impression
56,0,0,0,Impression
57,0,0,0,Impression
58,0,0,0,Impression
59,0,0,0,Impression
60,0,0,0,Impression
61,0,0,0,Impression
62,0,0,0,Impression
63,0,0,0,Impression
64,0,0,0,Impression
65,0,0,0,Impression
66,0,0,0,Impression
67,0,0,0,Impression
68,0,0,0,Impression
69,0,0,0,Impression
70,0,0,0,Impression
71,0,0,0,Impression
72,0,0,0,Impression
73,0,0,0,Impression
74,0,0,0,Impression
75,0,0,0,Impression
76,0,0,0,Impression
77,0,0,0,Impression
78,0,0,0,Impression
79,0,0,0,Impression
80,0,0,0,Impression
81,0,0,0,Impression
82,0,0,0,Impression
83,0,0,0,Impression
84,0,0,0,Impression
85,0,0,0,Impression
86,0,0,0,Impression
87,0,0,0,Impression
88,1,0,0,Click
89,0,0,0,Impression
90,0,0,0,Impression
91,0,0,0,Impression
92,0,0,0,Impression
93,0,0,0,Impression
94,0,0,0,Impression
95,0,0,0,Impression
96,0,0,0,Impression
97,0,0,0,Impression
98,0,0,0,Impression
99,0,0,0,Impression
100,0,0,0,Impression
101,0,0,0,Impression
102,0,0,0,Impression
103,0,0,0,Impression
104,0,0,0,Impression
105,0,0,0,Impression
106,0,0,0,Impression
107,0,0,0,Impression
108,0,0,0,Impression
109,0,0,0,Impression
110,0,0,0,Impression
111,0,0,0,Impression
112,0,0,0,Impression
113,0,0,0,Impression
114,0,0,0,Impression
115,1,1,1,Conversion
116,0,0,0,Impression
117,0,0,0,Impression
118,0,0,0,Impression
119,0,0,0,Impression
120,0,0,0,Impression
121,0,0,0,Impression
122,0,0,0,Impression
123,0,0,0,Impression
124,0,0,0,Impression
125,0,0,0,Impression
126,0,0,0,Impression
127,0,0,0,Impression
128,1,1,0,Lead
129,0,0,0,Impression
130,0,0,0,Impression
131,0,0,0,Impression
132,0,0,0,Impression
133,0,0,0,Impression
134,0,0,0,Impression
135,1,0,0,Click
136,0,0,0,Impression
137,0,0,0,Impression
138,0,0,0,Impression
139,0,0,0,Impression
140,0,0,0,Impression
141,0,0,0,Impression
142,0,0,0,Impression
143,0,0,0,Impression
144,0,0,0,Impression
145,0,0,0,Impression
146,0,0,0,Impression
147,0,0,0,Impression
148,0,0,0,Impression
149,0,0,0,Impression
150,1,0,0,Click
151,0,0,0,Impression
152,0,0,0,Impression
153,0,0,0,Impression
154,0,0,0,Impression
155,0,0,0,Impression
156,0,0,0,Impression
157,0,0,0,Impression
158,0,0,0,Impression
159,0,0,0,Impression
160,0,0,0,Impression
161,0,0,0,Impression
162,0,0,0,Impression
163,0,0,0,Impression
164,0,0,0,Impression
165,0,0,0,Impression
166,0,0,0,Impression
167,0,0,0,Impression
168,0,0,0,Impression
169,0,0,0,Impression
170,0,0,0,Impression
171,0,0,0,Impression
172,0,0,0,Impression
173,0,0,0,Impression
174,0,0,0,Impression
175,0,0,0,Impression
176,0,0,0,Impression
177,0,0,0,Impression
178,0,0,0,Impression
179,0,0,0,Impression
180,0,0,0,Impression
181,0,0,0,Impression
182,0,0,0,Impression
183,0,0,0,Impression
184,0,0,0,Impression
185,0,0,0,Impression
186,0,0,0,Impression
187,0,0,0,Impression
188,0,0,0,Impression
189,0,0,0,Impression
190,0,0,0,Impression
191,0,0,0,Impression
192,0,0,0,Impression
193,0,0,0,Impression
194,0,0,0,Impression
195,0,0,0,Impression
196,0,0,0,Impression
197,0,0,0,Impression
198,0,0,0,Impression
199,0,0,0,Impression
200,0,0,0,Impression
201,0,0,0,Impression
202,0,0,0,Impression
203,0,0,0,Impression
204,0,0,0,Impression
205,0,0,0,Impression
206,0,0,0,Impression
207,0,0,0,Impression
208,0,0,0,Impression
209,0,0,0,Impression
210,0,0,0,Impression
211,0,0,0,Impression
212,0,0,0,Impression
213,0,0,0,Impression
214,0,0,0,Impression
215,0,0,0,Impression
216,0,0,0,Impression
217,0,0,0,Impression
218,0,0,0,Impression
219,0,0,0,Impression
220,0,0,0,Impression
221,0,0,0,Impression
222,0,0,0,Impression
223,0,0,0,Impression
224,0,0,0,Impression
225,0,0,0,Impression
226,0,0,0,Impression
227,1,0,0,Click
228,0,0,0,Impression
229,0,0,0,Impression
230,0,0,0,Impression
231,0,0,0,Impression
232,0,0,0,Impression
233,0,0,0,Impression
234,0,0,0,Impression
235,0,0,0,Impression
236,0,0,0,Impression
237,0,0,0,Impression
238,0,0,0,Impression
239,0,0,0,Impression
240,0,0,0,Impression
241,0,0,0,Impression
242,0,0,0,Impression
243,0,0,0,Impression
244,0,0,0,Impression
245,0,0,0,Impression
246,0,0,0,Impression
247,0,0,0,Impression
248,0,0,0,Impression
249,0,0,0,Impression
250,0,0,0,Impression
251,0,0,0,Impression
252,0,0,0,Impression
253,0,0,0,Impression
254,0,0,0,Impression
255,0,0,0,Impression
256,0,0,0,Impression
257,0,0,0,Impression
258,0,0,0,Impression
259,0,0,0,Impression
260,0,0,0,Impression
261,0,0,0,Impression
262,0,0,0,Impression
263,0,0,0,Impression
264,0,0,0,Impression
265,0,0,0,Impression
266,0,0,0,Impression
267,0,0,0,Impression
268,0,0,0,Impression
269,0,0,0,Impression
270,0,0,0,Impression
271,1,0,0,Click
272,0,0,0,Impression
273,0,0,0,Impression
274,0,0,0,Impression
275,0,0,0,Impression
276,0,0,0,Impression
277,0,0,0,Impression
278,0,0,0,Impression
279,1,0,0,Click
280,0,0,0,Impression
